attribute,value,reactorName
Total GWh,1945.27,MOCHOVCE-3
Reactor Type,Pressurised Water Reactor (or PWR),MOCHOVCE-4
Model,VVER V-213,MOCHOVCE-4
Owner,"Slovenské Elektrárne, A.S.",MOCHOVCE-4
Operator,"Slovenské Elektrárne, A.S.",MOCHOVCE-4
Construction Start,"Tuesday, 27 January 1987",MOCHOVCE-4
Capacity Net,440 MWe,MOCHOVCE-4
Capacity Gross,471 MWe,MOCHOVCE-4
Thermal Capacity,1375 MWt,MOCHOVCE-4
Design Net Capacity,440 MWe,MOCHOVCE-4
Total GWh,0,MOCHOVCE-4
Reactor Type,Pressurised Water Reactor (or PWR),KRSKO
Model,WE 212,KRSKO
Owner,"Gen Energija, D.O.O",KRSKO
Operator,Nuklearna Elektrarna Krško,KRSKO
Construction Start,"Sunday, 30 March 1975",KRSKO
First Criticality,"Friday, 11 September 1981",KRSKO
First Grid Connection,"Friday, 2 October 1981",KRSKO
Commercial Operation,"Saturday, 1 January 1983",KRSKO
Capacity Net,688 MWe,KRSKO
Capacity Gross,727 MWe,KRSKO
Thermal Capacity,1994 MWt,KRSKO
Design Net Capacity,632 MWe,KRSKO
Total GWh,205319.55,KRSKO
Reactor Type,Pressurised Water Reactor (or PWR),KOEBERG-1
Model,CP1,KOEBERG-1
Owner,Eskom,KOEBERG-1
Operator,Eskom,KOEBERG-1
Construction Start,"Thursday, 1 July 1976",KOEBERG-1
First Criticality,"Wednesday, 14 March 1984",KOEBERG-1
First Grid Connection,"Wednesday, 4 April 1984",KOEBERG-1
Commercial Operation,"Saturday, 21 July 1984",KOEBERG-1
Capacity Net,924 MWe,KOEBERG-1
Capacity Gross,964 MWe,KOEBERG-1
Thermal Capacity,2775 MWt,KOEBERG-1
Design Net Capacity,921 MWe,KOEBERG-1
Total GWh,224806.93,KOEBERG-1
Reactor Type,Pressurised Water Reactor (or PWR),KOEBERG-2
Model,CP1,KOEBERG-2
Owner,Eskom,KOEBERG-2
Operator,Eskom,KOEBERG-2
Construction Start,"Thursday, 1 July 1976",KOEBERG-2
First Criticality,"Sunday, 7 July 1985",KOEBERG-2
First Grid Connection,"Thursday, 25 July 1985",KOEBERG-2
Commercial Operation,"Saturday, 9 November 1985",KOEBERG-2
Capacity Net,930 MWe,KOEBERG-2
Capacity Gross,970 MWe,KOEBERG-2
Thermal Capacity,2775 MWt,KOEBERG-2
Design Net Capacity,921 MWe,KOEBERG-2
Total GWh,223961.01,KOEBERG-2
Reactor Type,Pressurised Water Reactor (or PWR),ALMARAZ-1
Model,W (3-loop),ALMARAZ-1
Owner,"Iberdrola, Endesa, Gas Natural",ALMARAZ-1
Operator,Centrales Nucleares  Almaraz-Trillo (Id/Ufg/Endesa/Hc/Nuclenor),ALMARAZ-1
Construction Start,"Tuesday, 3 July 1973",ALMARAZ-1
First Criticality,"Sunday, 5 April 1981",ALMARAZ-1
First Grid Connection,"Friday, 1 May 1981",ALMARAZ-1
Commercial Operation,"Thursday, 1 September 1983",ALMARAZ-1
Capacity Net,1011 MWe,ALMARAZ-1
Capacity Gross,1049 MWe,ALMARAZ-1
Thermal Capacity,2947 MWt,ALMARAZ-1
Design Net Capacity,900 MWe,ALMARAZ-1
Total GWh,295374.47,ALMARAZ-1
Reactor Type,Pressurised Water Reactor (or PWR),ALMARAZ-2
Model,W (3-loop),ALMARAZ-2
Owner,"Iberdrola, Endesa, Gas Natural",ALMARAZ-2
Operator,Centrales Nucleares  Almaraz-Trillo (Id/Ufg/Endesa/Hc/Nuclenor),ALMARAZ-2
Construction Start,"Tuesday, 3 July 1973",ALMARAZ-2
First Criticality,"Monday, 19 September 1983",ALMARAZ-2
First Grid Connection,"Saturday, 8 October 1983",ALMARAZ-2
Commercial Operation,"Sunday, 1 July 1984",ALMARAZ-2
Capacity Net,1006 MWe,ALMARAZ-2
Capacity Gross,1044 MWe,ALMARAZ-2
Thermal Capacity,2947 MWt,ALMARAZ-2
Design Net Capacity,900 MWe,ALMARAZ-2
Total GWh,292678.9,ALMARAZ-2
Reactor Type,Pressurised Water Reactor (or PWR),ASCO-1
Model,W (3-loop),ASCO-1
Owner,"Endesa, S.A.",ASCO-1
Operator,Asociación Nuclear Ascó-Vandellós  A.I.E. (Endesa/Id),ASCO-1
Construction Start,"Thursday, 16 May 1974",ASCO-1
First Criticality,"Thursday, 16 June 1983",ASCO-1
First Grid Connection,"Saturday, 13 August 1983",ASCO-1
Commercial Operation,"Monday, 10 December 1984",ASCO-1
Capacity Net,995 MWe,ASCO-1
Capacity Gross,1033 MWe,ASCO-1
Thermal Capacity,2941 MWt,ASCO-1
Design Net Capacity,888 MWe,ASCO-1
Total GWh,285270.14,ASCO-1
Reactor Type,Pressurised Water Reactor (or PWR),ASCO-2
Model,W (3-loop),ASCO-2
Owner,"Endesa, Iberdrola",ASCO-2
Operator,Asociación Nuclear Ascó-Vandellós  A.I.E. (Endesa/Id),ASCO-2
Construction Start,"Friday, 7 March 1975",ASCO-2
First Criticality,"Wednesday, 11 September 1985",ASCO-2
First Grid Connection,"Wednesday, 23 October 1985",ASCO-2
Commercial Operation,"Monday, 31 March 1986",ASCO-2
Capacity Net,997 MWe,ASCO-2
Capacity Gross,1027 MWe,ASCO-2
Thermal Capacity,2941 MWt,ASCO-2
Design Net Capacity,888 MWe,ASCO-2
Total GWh,279628.71,ASCO-2
Reactor Type,Boiling Water Reactor (or BWR),COFRENTES
Model,BWR-6,COFRENTES
Owner,"Iberdrola, S.A.",COFRENTES
Operator,"Iberdrola, S.A.",COFRENTES
Construction Start,"Tuesday, 9 September 1975",COFRENTES
First Criticality,"Thursday, 23 August 1984",COFRENTES
First Grid Connection,"Sunday, 14 October 1984",COFRENTES
Commercial Operation,"Monday, 11 March 1985",COFRENTES
Capacity Net,1064 MWe,COFRENTES
Capacity Gross,1102 MWe,COFRENTES
Thermal Capacity,3237 MWt,COFRENTES
Design Net Capacity,939 MWe,COFRENTES
Total GWh,302932.54,COFRENTES
Reactor Type,Pressurised Water Reactor (or PWR),JOSE%20CABRERA-1
Model,W (1-loop),JOSE%20CABRERA-1
Owner,"Union Fenosa Generation, S.A.",JOSE%20CABRERA-1
Operator,"Union Fenosa Generation, S.A.",JOSE%20CABRERA-1
Construction Start,"Wednesday, 24 June 1964",JOSE%20CABRERA-1
First Criticality,"Sunday, 30 June 1968",JOSE%20CABRERA-1
First Grid Connection,"Sunday, 14 July 1968",JOSE%20CABRERA-1
Commercial Operation,"Wednesday, 13 August 1969",JOSE%20CABRERA-1
Permanent Shutdown,"Sunday, 30 April 2006",JOSE%20CABRERA-1
Capacity Net,141 MWe,JOSE%20CABRERA-1
Capacity Gross,150 MWe,JOSE%20CABRERA-1
Thermal Capacity,510 MWt,JOSE%20CABRERA-1
Design Net Capacity,153 MWe,JOSE%20CABRERA-1
Total GWh,33920.19,JOSE%20CABRERA-1
Reactor Type,Boiling Water Reactor (or BWR),SANTA%20MARIA%20DE%20GARONA
Model,BWR-3,SANTA%20MARIA%20DE%20GARONA
Owner,"Nuclenor, S.A.",SANTA%20MARIA%20DE%20GARONA
Operator,"Nuclenor, S.A.",SANTA%20MARIA%20DE%20GARONA
Construction Start,"Thursday, 1 September 1966",SANTA%20MARIA%20DE%20GARONA
First Criticality,"Thursday, 5 November 1970",SANTA%20MARIA%20DE%20GARONA
First Grid Connection,"Tuesday, 2 March 1971",SANTA%20MARIA%20DE%20GARONA
Commercial Operation,"Tuesday, 11 May 1971",SANTA%20MARIA%20DE%20GARONA
Long-term Shutdown,"Saturday, 6 July 2013",SANTA%20MARIA%20DE%20GARONA
Restart,"Wednesday, 2 August 2017",SANTA%20MARIA%20DE%20GARONA
Permanent Shutdown,"Wednesday, 2 August 2017",SANTA%20MARIA%20DE%20GARONA
Capacity Net,446 MWe,SANTA%20MARIA%20DE%20GARONA
Capacity Gross,466 MWe,SANTA%20MARIA%20DE%20GARONA
Thermal Capacity,1381 MWt,SANTA%20MARIA%20DE%20GARONA
Design Net Capacity,440 MWe,SANTA%20MARIA%20DE%20GARONA
Total GWh,126990.07,SANTA%20MARIA%20DE%20GARONA
Reactor Type,Pressurised Water Reactor (or PWR),TRILLO-1
Model,PWR 3 loops,TRILLO-1
Owner,"Iberdrola, Gas Natural, Hidroeléctrica Del Cantábrico, Nuclenor",TRILLO-1
Operator,Centrales Nucleares  Almaraz-Trillo (Id/Ufg/Endesa/Hc/Nuclenor),TRILLO-1
Construction Start,"Friday, 17 August 1979",TRILLO-1
First Criticality,"Saturday, 14 May 1988",TRILLO-1
First Grid Connection,"Monday, 23 May 1988",TRILLO-1
Commercial Operation,"Saturday, 6 August 1988",TRILLO-1
Capacity Net,1003 MWe,TRILLO-1
Capacity Gross,1066 MWe,TRILLO-1
Thermal Capacity,3010 MWt,TRILLO-1
Design Net Capacity,990 MWe,TRILLO-1
Total GWh,269993.74,TRILLO-1
Reactor Type,Pressurised Water Reactor (or PWR),VANDELLOS-2
Model,W (3-loop),VANDELLOS-2
Owner,"Endesa, Iberdrola",VANDELLOS-2
Operator,Asociación Nuclear Ascó-Vandellós  A.I.E. (Endesa/Id),VANDELLOS-2
Construction Start,"Monday, 29 December 1980",VANDELLOS-2
First Criticality,"Saturday, 14 November 1987",VANDELLOS-2
First Grid Connection,"Saturday, 12 December 1987",VANDELLOS-2
Commercial Operation,"Tuesday, 8 March 1988",VANDELLOS-2
Capacity Net,1047 MWe,VANDELLOS-2
Capacity Gross,1087 MWe,VANDELLOS-2
Thermal Capacity,2941 MWt,VANDELLOS-2
Design Net Capacity,930 MWe,VANDELLOS-2
Total GWh,264934.5,VANDELLOS-2
Reactor Type,Gas-Cooled Reactor (or GCR),VANDELLOS-1
Model,,VANDELLOS-1
Owner,"Hispano-Francesa De Energia Nuclear, S.A.",VANDELLOS-1
Operator,"Hispano-Francesa De Energia Nuclear, S.A.",VANDELLOS-1
Construction Start,"Friday, 21 June 1968",VANDELLOS-1
First Criticality,"Friday, 11 February 1972",VANDELLOS-1
First Grid Connection,"Saturday, 6 May 1972",VANDELLOS-1
Commercial Operation,"Wednesday, 2 August 1972",VANDELLOS-1
Permanent Shutdown,"Tuesday, 31 July 1990",VANDELLOS-1
Capacity Net,480 MWe,VANDELLOS-1
Capacity Gross,500 MWe,VANDELLOS-1
Thermal Capacity,1670 MWt,VANDELLOS-1
Design Net Capacity,480 MWe,VANDELLOS-1
Total GWh,53629.11,VANDELLOS-1
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),AGESTA
Model,R3/Adam,AGESTA
Owner,Vattenfall AB,AGESTA
Operator,AB SVAFO,AGESTA
Construction Start,"Sunday, 1 December 1957",AGESTA
First Criticality,"Wednesday, 17 July 1963",AGESTA
First Grid Connection,"Friday, 1 May 1964",AGESTA
Commercial Operation,"Friday, 1 May 1964",AGESTA
Permanent Shutdown,"Sunday, 2 June 1974",AGESTA
Capacity Net,10 MWe,AGESTA
Capacity Gross,12 MWe,AGESTA
Thermal Capacity,80 MWt,AGESTA
Design Net Capacity,9 MWe,AGESTA
Total GWh,140.6,AGESTA
Reactor Type,Boiling Water Reactor (or BWR),BARSEBACK-1
Model,ABB-II,BARSEBACK-1
Owner,Sydkraft Nuclear Power Ab,BARSEBACK-1
Operator,Barsebäck Kraft Ab,BARSEBACK-1
Construction Start,"Monday, 1 February 1971",BARSEBACK-1
First Criticality,"Saturday, 18 January 1975",BARSEBACK-1
First Grid Connection,"Thursday, 15 May 1975",BARSEBACK-1
Commercial Operation,"Tuesday, 1 July 1975",BARSEBACK-1
Permanent Shutdown,"Tuesday, 30 November 1999",BARSEBACK-1
Capacity Net,600 MWe,BARSEBACK-1
Capacity Gross,615 MWe,BARSEBACK-1
Thermal Capacity,1800 MWt,BARSEBACK-1
Design Net Capacity,570 MWe,BARSEBACK-1
Total GWh,93816.28,BARSEBACK-1
Reactor Type,Boiling Water Reactor (or BWR),BARSEBACK-2
Model,ABB-II,BARSEBACK-2
Owner,Sydkraft Nuclear Power Ab,BARSEBACK-2
Operator,Barsebäck Kraft Ab,BARSEBACK-2
Construction Start,"Monday, 1 January 1973",BARSEBACK-2
First Criticality,"Sunday, 20 February 1977",BARSEBACK-2
First Grid Connection,"Monday, 21 March 1977",BARSEBACK-2
Commercial Operation,"Friday, 1 July 1977",BARSEBACK-2
Permanent Shutdown,"Tuesday, 31 May 2005",BARSEBACK-2
Capacity Net,600 MWe,BARSEBACK-2
Capacity Gross,615 MWe,BARSEBACK-2
Thermal Capacity,1800 MWt,BARSEBACK-2
Design Net Capacity,570 MWe,BARSEBACK-2
Total GWh,108445.47,BARSEBACK-2
Reactor Type,Boiling Water Reactor (or BWR),FORSMARK-2
Model,"ABB-III, BWR-2500",FORSMARK-2
Owner,Forsmark Kraftgrupp AB,FORSMARK-2
Operator,Forsmark Kraftgrupp AB,FORSMARK-2
Construction Start,"Wednesday, 1 January 1975",FORSMARK-2
First Criticality,"Sunday, 16 November 1980",FORSMARK-2
First Grid Connection,"Monday, 26 January 1981",FORSMARK-2
Commercial Operation,"Tuesday, 7 July 1981",FORSMARK-2
Capacity Net,1121 MWe,FORSMARK-2
Capacity Gross,1160 MWe,FORSMARK-2
Thermal Capacity,3253 MWt,FORSMARK-2
Design Net Capacity,900 MWe,FORSMARK-2
Total GWh,301835.94,FORSMARK-2
Reactor Type,Boiling Water Reactor (or BWR),FORSMARK-3
Model,"ABB-III, BWR-3000",FORSMARK-3
Owner,Forsmark Kraftgrupp AB,FORSMARK-3
Operator,Forsmark Kraftgrupp AB,FORSMARK-3
Construction Start,"Monday, 1 January 1979",FORSMARK-3
First Criticality,"Sunday, 28 October 1984",FORSMARK-3
First Grid Connection,"Tuesday, 5 March 1985",FORSMARK-3
Commercial Operation,"Sunday, 18 August 1985",FORSMARK-3
Capacity Net,1172 MWe,FORSMARK-3
Capacity Gross,1208 MWe,FORSMARK-3
Thermal Capacity,3300 MWt,FORSMARK-3
Design Net Capacity,1050 MWe,FORSMARK-3
Total GWh,329942.71,FORSMARK-3
Reactor Type,Boiling Water Reactor (or BWR),FORSMARK-1
Model,"ABB-III, BWR-2500",FORSMARK-1
Owner,Forsmark Kraftgrupp AB,FORSMARK-1
Operator,Forsmark Kraftgrupp AB,FORSMARK-1
Construction Start,"Friday, 1 June 1973",FORSMARK-1
First Criticality,"Wednesday, 23 April 1980",FORSMARK-1
First Grid Connection,"Friday, 6 June 1980",FORSMARK-1
Commercial Operation,"Wednesday, 10 December 1980",FORSMARK-1
Capacity Net,1104 MWe,FORSMARK-1
Capacity Gross,1143 MWe,FORSMARK-1
Thermal Capacity,3234 MWt,FORSMARK-1
Design Net Capacity,900 MWe,FORSMARK-1
Total GWh,304988,FORSMARK-1
Reactor Type,Boiling Water Reactor (or BWR),OSKARSHAMN-3
Model,"ABB-III, BWR-3000",OSKARSHAMN-3
Owner,OKG Aktiebolag,OSKARSHAMN-3
Operator,OKG Aktiebolag,OSKARSHAMN-3
Construction Start,"Thursday, 1 May 1980",OSKARSHAMN-3
First Criticality,"Saturday, 29 December 1984",OSKARSHAMN-3
First Grid Connection,"Sunday, 3 March 1985",OSKARSHAMN-3
Commercial Operation,"Thursday, 15 August 1985",OSKARSHAMN-3
Capacity Net,1400 MWe,OSKARSHAMN-3
Capacity Gross,1450 MWe,OSKARSHAMN-3
Thermal Capacity,3900 MWt,OSKARSHAMN-3
Design Net Capacity,1050 MWe,OSKARSHAMN-3
Total GWh,325618.3,OSKARSHAMN-3
Reactor Type,Boiling Water Reactor (or BWR),OSKARSHAMN-1
Model,ABB-I,OSKARSHAMN-1
Owner,OKG Aktiebolag,OSKARSHAMN-1
Operator,OKG Aktiebolag,OSKARSHAMN-1
Construction Start,"Monday, 1 August 1966",OSKARSHAMN-1
First Criticality,"Saturday, 12 December 1970",OSKARSHAMN-1
First Grid Connection,"Thursday, 19 August 1971",OSKARSHAMN-1
Commercial Operation,"Sunday, 6 February 1972",OSKARSHAMN-1
Permanent Shutdown,"Monday, 19 June 2017",OSKARSHAMN-1
Capacity Net,473 MWe,OSKARSHAMN-1
Capacity Gross,492 MWe,OSKARSHAMN-1
Thermal Capacity,1375 MWt,OSKARSHAMN-1
Design Net Capacity,440 MWe,OSKARSHAMN-1
Total GWh,110024.62,OSKARSHAMN-1
Reactor Type,Boiling Water Reactor (or BWR),OSKARSHAMN-2
Model,ABB-II,OSKARSHAMN-2
Owner,OKG Aktiebolag,OSKARSHAMN-2
Operator,OKG Aktiebolag,OSKARSHAMN-2
Construction Start,"Monday, 1 September 1969",OSKARSHAMN-2
First Criticality,"Wednesday, 6 March 1974",OSKARSHAMN-2
First Grid Connection,"Wednesday, 2 October 1974",OSKARSHAMN-2
Commercial Operation,"Wednesday, 1 January 1975",OSKARSHAMN-2
Permanent Shutdown,"Thursday, 22 December 2016",OSKARSHAMN-2
Capacity Net,638 MWe,OSKARSHAMN-2
Capacity Gross,661 MWe,OSKARSHAMN-2
Thermal Capacity,1800 MWt,OSKARSHAMN-2
Design Net Capacity,580 MWe,OSKARSHAMN-2
Total GWh,154051.09,OSKARSHAMN-2
Reactor Type,Pressurised Water Reactor (or PWR),RINGHALS-4
Model,W (3-loops),RINGHALS-4
Owner,Ringhals AB,RINGHALS-4
Operator,Ringhals AB,RINGHALS-4
Construction Start,"Thursday, 1 November 1973",RINGHALS-4
First Criticality,"Wednesday, 19 May 1982",RINGHALS-4
First Grid Connection,"Wednesday, 23 June 1982",RINGHALS-4
Commercial Operation,"Monday, 21 November 1983",RINGHALS-4
Capacity Net,1130 MWe,RINGHALS-4
Capacity Gross,1178 MWe,RINGHALS-4
Thermal Capacity,3300 MWt,RINGHALS-4
Design Net Capacity,915 MWe,RINGHALS-4
Total GWh,269609.52,RINGHALS-4
Reactor Type,Boiling Water Reactor (or BWR),RINGHALS-1
Model,ABB-I,RINGHALS-1
Owner,Ringhals AB,RINGHALS-1
Operator,Ringhals AB,RINGHALS-1
Construction Start,"Saturday, 1 February 1969",RINGHALS-1
First Criticality,"Monday, 20 August 1973",RINGHALS-1
First Grid Connection,"Monday, 14 October 1974",RINGHALS-1
Commercial Operation,"Thursday, 1 January 1976",RINGHALS-1
Permanent Shutdown,"Wednesday, 30 December 2020",RINGHALS-1
Capacity Net,881 MWe,RINGHALS-1
Capacity Gross,910 MWe,RINGHALS-1
Thermal Capacity,2540 MWt,RINGHALS-1
Design Net Capacity,881 MWe,RINGHALS-1
Total GWh,221148.47,RINGHALS-1
Reactor Type,Pressurised Water Reactor (or PWR),RINGHALS-2
Model,W (3-loops),RINGHALS-2
Owner,Ringhals AB,RINGHALS-2
Operator,Ringhals AB,RINGHALS-2
Construction Start,"Thursday, 1 October 1970",RINGHALS-2
First Criticality,"Wednesday, 19 June 1974",RINGHALS-2
First Grid Connection,"Saturday, 17 August 1974",RINGHALS-2
Commercial Operation,"Thursday, 1 May 1975",RINGHALS-2
Permanent Shutdown,"Tuesday, 31 December 2019",RINGHALS-2
Capacity Net,852 MWe,RINGHALS-2
Capacity Gross,963 MWe,RINGHALS-2
Thermal Capacity,2652 MWt,RINGHALS-2
Design Net Capacity,820 MWe,RINGHALS-2
Total GWh,216306.38,RINGHALS-2
Reactor Type,Pressurised Water Reactor (or PWR),RINGHALS-3
Model,W (3-loops),RINGHALS-3
Owner,Ringhals AB,RINGHALS-3
Operator,Ringhals AB,RINGHALS-3
Construction Start,"Friday, 1 September 1972",RINGHALS-3
First Criticality,"Tuesday, 29 July 1980",RINGHALS-3
First Grid Connection,"Sunday, 7 September 1980",RINGHALS-3
Commercial Operation,"Wednesday, 9 September 1981",RINGHALS-3
Capacity Net,1081 MWe,RINGHALS-3
Capacity Gross,1128 MWe,RINGHALS-3
Thermal Capacity,3135 MWt,RINGHALS-3
Design Net Capacity,915 MWe,RINGHALS-3
Total GWh,280452.17,RINGHALS-3
Reactor Type,Pressurised Water Reactor (or PWR),BEZNAU-1
Model,W (2-loop),BEZNAU-1
Owner,Kernkraftwerk Beznau,BEZNAU-1
Operator,Kernkraftwerk Beznau,BEZNAU-1
Construction Start,"Wednesday, 1 September 1965",BEZNAU-1
First Criticality,"Monday, 30 June 1969",BEZNAU-1
First Grid Connection,"Thursday, 17 July 1969",BEZNAU-1
Commercial Operation,"Wednesday, 24 December 1969",BEZNAU-1
Capacity Net,365 MWe,BEZNAU-1
Capacity Gross,380 MWe,BEZNAU-1
Thermal Capacity,1130 MWt,BEZNAU-1
Design Net Capacity,350 MWe,BEZNAU-1
Total GWh,135855.55,BEZNAU-1
Reactor Type,Pressurised Water Reactor (or PWR),BEZNAU-2
Model,W (2-loop),BEZNAU-2
Owner,Kernkraftwerk Beznau,BEZNAU-2
Operator,Kernkraftwerk Beznau,BEZNAU-2
Construction Start,"Monday, 1 January 1968",BEZNAU-2
First Criticality,"Saturday, 16 October 1971",BEZNAU-2
First Grid Connection,"Saturday, 23 October 1971",BEZNAU-2
Commercial Operation,"Wednesday, 15 March 1972",BEZNAU-2
Capacity Net,365 MWe,BEZNAU-2
Capacity Gross,380 MWe,BEZNAU-2
Thermal Capacity,1130 MWt,BEZNAU-2
Design Net Capacity,350 MWe,BEZNAU-2
Total GWh,143352.07,BEZNAU-2
Reactor Type,Pressurised Water Reactor (or PWR),GOESGEN
Model,PWR 3 Loop,GOESGEN
Owner,Kernkraftwerk Goesgen-Daeniken AG,GOESGEN
Operator,Kernkraftwerk Goesgen-Daeniken AG,GOESGEN
Construction Start,"Saturday, 1 December 1973",GOESGEN
First Criticality,"Saturday, 20 January 1979",GOESGEN
First Grid Connection,"Friday, 2 February 1979",GOESGEN
Commercial Operation,"Thursday, 1 November 1979",GOESGEN
Capacity Net,1010 MWe,GOESGEN
Capacity Gross,1060 MWe,GOESGEN
Thermal Capacity,3002 MWt,GOESGEN
Design Net Capacity,920 MWe,GOESGEN
Total GWh,336377.95,GOESGEN
Reactor Type,Boiling Water Reactor (or BWR),LEIBSTADT
Model,BWR-6,LEIBSTADT
Owner,Kernkraftwerk Leibstadt,LEIBSTADT
Operator,Kernkraftwerk Leibstadt,LEIBSTADT
Construction Start,"Tuesday, 1 January 1974",LEIBSTADT
First Criticality,"Friday, 9 March 1984",LEIBSTADT
First Grid Connection,"Thursday, 24 May 1984",LEIBSTADT
Commercial Operation,"Saturday, 15 December 1984",LEIBSTADT
Capacity Net,1233 MWe,LEIBSTADT
Capacity Gross,1275 MWe,LEIBSTADT
Thermal Capacity,3600 MWt,LEIBSTADT
Design Net Capacity,960 MWe,LEIBSTADT
Total GWh,315670.79,LEIBSTADT
Reactor Type,Heavy Water Gas-Cooled Reactor (or HWGCR),LUCENS
Model,HWGCR: 2-loops,LUCENS
Owner,Nationale Gesellschaft Zur Förderung Der Industriellen Atomtechnik,LUCENS
Operator,Energie De L'Ouest Suisse,LUCENS
Construction Start,"Sunday, 1 April 1962",LUCENS
First Criticality,"Thursday, 29 December 1966",LUCENS
First Grid Connection,"Monday, 29 January 1968",LUCENS
Commercial Operation,,LUCENS
Permanent Shutdown,"Tuesday, 21 January 1969",LUCENS
Capacity Net,6 MWe,LUCENS
Capacity Gross,7 MWe,LUCENS
Thermal Capacity,28 MWt,LUCENS
Design Net Capacity,6 MWe,LUCENS
Total GWh,0,LUCENS
Reactor Type,Boiling Water Reactor (or BWR),MUEHLEBERG
Model,BWR-4,MUEHLEBERG
Owner,Bkw Energie Ag,MUEHLEBERG
Operator,Bkw Energie Ag,MUEHLEBERG
Construction Start,"Wednesday, 1 March 1967",MUEHLEBERG
First Criticality,"Monday, 8 March 1971",MUEHLEBERG
First Grid Connection,"Thursday, 1 July 1971",MUEHLEBERG
Commercial Operation,"Monday, 6 November 1972",MUEHLEBERG
Permanent Shutdown,"Friday, 20 December 2019",MUEHLEBERG
Capacity Net,373 MWe,MUEHLEBERG
Capacity Gross,390 MWe,MUEHLEBERG
Thermal Capacity,1097 MWt,MUEHLEBERG
Design Net Capacity,306 MWe,MUEHLEBERG
Total GWh,125234.6,MUEHLEBERG
Reactor Type,Pressurised Water Reactor (or PWR),AKKUYU-1
Model,VVER V-509,AKKUYU-1
Owner,Akkuyu Nuclear Joint Stock Company (JSC),AKKUYU-1
Operator,Akkuyu Nuclear Joint Stock Company (JSC),AKKUYU-1
Construction Start,"Tuesday, 3 April 2018",AKKUYU-1
Capacity Net,1114 MWe,AKKUYU-1
Capacity Gross,1200 MWe,AKKUYU-1
Thermal Capacity,3200 MWt,AKKUYU-1
Design Net Capacity,1114 MWe,AKKUYU-1
Total GWh,0,AKKUYU-1
Reactor Type,Pressurised Water Reactor (or PWR),AKKUYU-2
Model,VVER V-509,AKKUYU-2
Owner,Akkuyu Nuclear Joint Stock Company (JSC),AKKUYU-2
Operator,Akkuyu Nuclear Joint Stock Company (JSC),AKKUYU-2
Construction Start,"Wednesday, 8 April 2020",AKKUYU-2
Capacity Net,1114 MWe,AKKUYU-2
Capacity Gross,1200 MWe,AKKUYU-2
Thermal Capacity,3200 MWt,AKKUYU-2
Design Net Capacity,1114 MWe,AKKUYU-2
Total GWh,0,AKKUYU-2
Reactor Type,Pressurised Water Reactor (or PWR),AKKUYU-3
Model,VVER V-509,AKKUYU-3
Owner,Akkuyu Nuclear Joint Stock Company (JSC),AKKUYU-3
Operator,Akkuyu Nuclear Joint Stock Company (JSC),AKKUYU-3
Construction Start,"Wednesday, 10 March 2021",AKKUYU-3
Capacity Net,1114 MWe,AKKUYU-3
Capacity Gross,1200 MWe,AKKUYU-3
Thermal Capacity,3200 MWt,AKKUYU-3
Design Net Capacity,1114 MWe,AKKUYU-3
Total GWh,0,AKKUYU-3
Reactor Type,Pressurised Water Reactor (or PWR),AKKUYU-4
Model,VVER V-509,AKKUYU-4
Owner,Akkuyu Nuclear Joint Stock Company (JSC),AKKUYU-4
Operator,Akkuyu Nuclear Joint Stock Company (JSC),AKKUYU-4
Construction Start,"Thursday, 21 July 2022",AKKUYU-4
Capacity Net,1114 MWe,AKKUYU-4
Capacity Gross,1200 MWe,AKKUYU-4
Thermal Capacity,3200 MWt,AKKUYU-4
Design Net Capacity,1114 MWe,AKKUYU-4
Total GWh,0,AKKUYU-4
Reactor Type,Light Water Graphite Reactor (or LWGR),CHERNOBYL-1
Model,RBMK,CHERNOBYL-1
Owner,Se “Nnegc “Energoatom”,CHERNOBYL-1
Operator,Mintopenergo Of Ukraine - Ministry Of Fuel And Energy Of Ukraine,CHERNOBYL-1
Construction Start,"Sunday, 1 March 1970",CHERNOBYL-1
First Criticality,"Tuesday, 2 August 1977",CHERNOBYL-1
First Grid Connection,"Monday, 26 September 1977",CHERNOBYL-1
Commercial Operation,"Saturday, 27 May 1978",CHERNOBYL-1
Permanent Shutdown,"Saturday, 30 November 1996",CHERNOBYL-1
Capacity Net,740 MWe,CHERNOBYL-1
Capacity Gross,800 MWe,CHERNOBYL-1
Thermal Capacity,3200 MWt,CHERNOBYL-1
Design Net Capacity,925 MWe,CHERNOBYL-1
Total GWh,97273.4,CHERNOBYL-1
Reactor Type,Light Water Graphite Reactor (or LWGR),CHERNOBYL-2
Model,RBMK,CHERNOBYL-2
Owner,Se “Nnegc “Energoatom”,CHERNOBYL-2
Operator,Mintopenergo Of Ukraine - Ministry Of Fuel And Energy Of Ukraine,CHERNOBYL-2
